DELITOS;DESCRIPCION;COD;MINIMO;MAXIMO;PRESAÑO;PRESCRIBE
DEFRAU A RENTAS DE ADUANA;321;430;5;8;5;1826
DEFRAUDACION DCHOS PATRIMONIALES DE AUTOR;271;;2;5;5;1826
DEFRAUDACION DE FLUIDOS;256;;1;4;5;1826
DEL ACCES ILEG A TELECOMU;257;546;2;8;8;2922
DENEGACION DE INSCRIPCION;396;287;1;3;5;1826
DEPORTACION, EXPULCION DESP. FOR. POBL CIVIL;159;;10;20;20;7305
DESAPARICION FORZADA;165;;20;30;30;10957
DESCONOCIM HABEAS CORPUS;177;143;2;5;5;1826
DESPLAZAMIENTO FORZADO;180;;6;12;30;10957
DESPOJO EN CAMPO DE BATALLA;151;;3;10;10;3652
DESTINAC MUEBLES INMUEBL;377;051;6;12;12;4383
DESTINO INDEBIDO DE RECUR;403;343;2;5;5;1826
DESTR BIENES E INST SANITARIAS;155;;5;10;10;3652
DESTR O UTIL ILIC BIENES CULTURALES Y DE CULTO;156;;3;10;10;3652
DESTR Y APROPIACION  BIENES PROTEGIDOS;154;;5;10;10;3652
DESTRUCCION DEL MEDIO AMBIENTE;164;;10;15;15;5477
DESTRUCCION DOC PRIVADO;293;067;1;6;6;2191
DESTRUCCION DOC PUBLICO;292;068;2;8;8;2922
DET ILEGAL Y PRIV DEBIDO PROCESO;149;;10;15;15;5477
DETENCION ABITRARIA ESPE;176;144;3;5;5;1826
DISPARO DE ARMA DE FUEGO;356;259;2;5;5;1826
DISPOS BIEN PRPIO GRAV PR;255;201;1;4;5;1826
DIVULGACION Y EMPLEO DE D;194;145;MULTA;;5;1826
EJECUCION O REPRODUCCION;EJECUCION REPRODUCCION DE OBRAS ARTISTICAS SIN AUTIRIZACION DEL TITULAR DEL DERECHO ART. 52 LEY 44 DE 1993;086;1;4;5;1826
EJERCICIO ARBITARIO DE CUSTODIA DE HIJO MENOR;230A;;;;0;0
EJERCICIO ILICITO DE ACTI;312;178;3;5;5;1826
EMIS Y TRANSF ILEGAL CHEQ;248;202;1;3;5;1826
EMISION ILEGAL DE EFECTOS;282;069;1;5;5;1826
EMISIONES ILEGALES;276;070;3;10;10;3652
EMPLEO ILEGAL FZA PUBLICA;423;025;1;4;5;1826
EMPLEO O LANZ DE SUS;359;260;1;5;5;1826
EMPLEO O LANZ DE SUS TERR;EMPLEO O LANZAMIENTO DE SUSTANCIAS U OBJETOS PELIGROS CON FINES TERRORISTAS ART.12 DEC. 180 DE 1988;104;10;20;20;7305
ENRIQ ILICITO DERIV SECUE;ENRIQUECIMIENTO ILICITO DERIVADO DE SECUESTRO ART. 6 LEY 40 DE 1993;233;5;10;10;3652
ENRIQ ILICITO PARTICULARES;327;105;6;10;10;3652
ENRIQUECIMIENTO ILICITO;412;026;6;10;10;3652
ENTRAMIENTO PARA ACTIVIDADES ILICITAS;341;;15;20;20;7305
ENTRENAMIENTO PARA ACTIVI;ENTRENAMIENTO PARA ACTIVIDADES SICARIALES ART-3 DEC. LEY 1194;119;15;20;20;7305
ESPECULACION;298;179;3;6;6;2191
ESPIONAJE;463;246;4;12;12;4383
ESTAFA;246;194;2;8;8;2922
ESTIMU CNSTRMNTO USO ILIC;378;052;3;8;8;2922
ESTIMULO A LA PROSTITUCION;217;169;6;8;8;2922
EVASION FISCAL;313;;2;6;6;2191
EXACCION O CONTRIBUCINES ARB.;163;;6;15;15;5477
EXIST, CONST, UTILIZACION ILEGAL DE PISTAS;385;;4;10;10;3652
EXPERIMENTACION ILEGAL EN ESPECIES;334;;2;6;6;2191
EXPLOT ILICITA DE YACIM;338;180;2;8;8;2922
EXPORTACION FICTICIA;310;181;2;8;8;2922
EXTORSION;244;195;8;15;15;5477
FAB TRAF USO ARMAS QUIMICAS NUCLEARES;367;;6;10;10;3652
FAB Y TRAFICO DE A DE FUE;365;262;1;4;5;1826
FAB Y TRAFICO DE A Y MUNI;366;108;3;10;10;3652
FABRICACION Y COMERC SUSTANCIAS NOCIVAS;374;;2;6;6;2191
FALS MONEDA NAL O EXTRANJ;273;080;6;10;10;3652
FALSA AUTOACUSACION;437;001;1;2;5;1826
FALSA DENUNCIA;435 ley 890;002;16;36;5;1826
FALSA DENUNCIA CONTRA PER;436 ley 890;003;64;144;12;4383
FALSEDAD DERECHOS AUTOR;FALSEDAD DERECHOS DE AUTOR ART. 51 LEY 44 DE 1993;330;2;5;5;1826
FALSEDAD EN DOCUMENTO PRI;289;071;1;6;6;2191
FALSEDAD IDEOLOGICA EN DO;286;072;4;8;8;2922
FALSEDAD MARCARIA;285;073;1;5;5;1826
FALSEDAD MATERIAL DE EMPL;FALSEDAD MATERIAL DE EMPLEADO OFICIAL EN DOCUMENTO PUBLICO ART 218 C.P.;074;3;10;10;3652
FALSEDAD MATERIAL EN DOC PCO;287;075;3;6;6;2191
